source node,target node,path size
4,4,0
4,12,1
4,2190,1
4,157,1
4,1921,2
4,24555,2
4,24554,2
4,63,2
4,2194,2
4,4309,2
4,4295,2
4,4310,2
4,667,2
4,4302,2
4,4307,2
4,4308,2
4,3158,3
4,448,3
4,4202,3
4,328,3
4,2197,3
4,649,3
4,194,3
4,1922,3
4,89,4
4,5496,4
4,49,4
4,2111,4
4,180,4
4,2175,4
4,1096,4
4,2060,4
4,132,4
4,1425,4
4,156,4
4,102,4
4,2214,4
4,3533,4
4,2212,4
4,7,4
4,304,4
4,1276,4
4,2211,4
4,307,4
4,813,4
4,4204,4
4,4206,4
4,3638,4
4,3639,4
4,10991,4
4,980,4
4,1953,4
4,9068,4
4,8847,4
4,4710,4
4,85,4
4,137,4
4,1632,4
4,1621,4
4,1421,4
4,1251,4
4,901,4
4,748,4
4,172,4
4,394,4
4,26607,4
4,26606,4
4,26605,4
4,26604,4
4,2011,5
4,1053,5
4,1052,5
4,1051,5
4,154,5
4,363,5
4,870,5
4,155,5
4,520,5
4,635,5
4,519,5
4,4172,5
4,4183,5
4,4173,5
4,4184,5
4,2067,5
4,196,5
4,4171,5
4,840,5
4,712,5
4,515,5
4,713,5
4,946,5
4,947,5
4,1911,5
4,13658,5
4,1634,5
4,1633,5
4,7561,5
4,7560,5
4,7563,5
4,1885,5
4,7562,5
4,7103,5
4,7532,5
4,7565,5
4,7564,5
4,7104,5
4,2068,5
4,7643,5
4,1082,5
4,1081,5
4,3698,5
4,3788,5
4,435,5
4,11097,5
4,1422,5
4,2073,5
4,1390,5
4,2072,5
4,1252,5
4,1338,5
4,1972,5
4,1919,5
4,39,5
4,260,5
4,393,5
4,2062,5
4,460,5
4,2061,5
4,375,5
4,364,5
4,575,5
4,278,5
4,322,5
4,279,5
4,1201,5
4,3312,5
4,803,5
4,42,5
4,1406,5
4,3319,5
4,1639,5
4,21339,6
4,21338,6
4,13729,6
4,17540,6
4,13730,6
4,13731,6
4,8948,6
4,12330,6
4,14885,6
4,24090,6
4,2069,6
4,30965,6
4,5581,6
4,5557,6
4,22113,6
4,12273,6
4,22114,6
4,25537,6
4,2027,6
4,4260,6
4,4261,6
4,4255,6
4,865,6
4,4259,6
4,2074,6
4,1342,6
4,541,6
4,2177,6
4,1408,6
4,11242,7
4,11241,7
4,24098,7
4,29808,7
4,24099,7
4,18407,7
4,14478,7
4,18649,7
4,18408,7
4,18405,7
4,18406,7
4,12390,7
4,110,7
4,4373,7
4,4374,7
4,4364,7
4,4367,7
4,4368,7
4,25370,8
4,25350,8
4,25372,8
4,25371,8
4,25351,8
4,25431,8
4,24100,8
4,25430,8
4,25417,8
4,25416,8
4,15594,8
4,29802,9
4,15906,9
4,12281,9
4,8216,9
4,33661,9
4,30150,9
4,34749,9
4,20975,9
4,35874,10
4,36257,10
4,36256,10
4,36255,10
4,20544,10
4,20553,10
4,20552,10
4,20551,10
4,20032,10
4,8214,10
4,20581,10
4,20548,10
4,20547,10
4,20546,10
4,20557,10
4,20545,10
4,20556,10
4,16707,10
4,13884,10
4,13960,10
4,17786,10
4,20974,10
4,37775,11
4,20357,11
4,27863,11
4,20031,11
4,20358,11
4,19347,11
4,19441,11
4,18220,11
4,19440,11
4,18221,11
4,18222,11
4,29011,12
4,28949,12
4,28716,12
4,28715,12
4,14409,12
4,19346,12
12,12,0
12,1921,1
12,2190,1
12,24555,1
12,157,1
12,24554,1
12,4,1
12,63,1
12,2194,1
12,4309,2
12,4295,2
12,4310,2
12,667,2
12,4302,2
12,4307,2
12,4308,2
12,3158,2
12,448,2
12,4202,2
12,328,2
12,2197,2
12,649,2
12,194,2
12,1922,2
12,89,3
12,5496,3
12,49,3
12,2111,3
12,180,3
12,2175,3
12,1096,3
12,2060,3
12,132,3
12,1425,3
12,156,3
12,102,3
12,2214,3
12,3533,3
12,2212,3
12,7,3
12,304,3
12,1276,3
12,2211,3
12,307,3
12,813,3
12,4204,3
12,4206,3
12,3638,3
12,3639,3
12,10991,3
12,980,3
12,1953,3
12,9068,3
12,8847,3
12,4710,3
12,85,3
12,137,3
12,1632,3
12,1621,3
12,1421,3
12,1251,3
12,901,3
12,748,3
12,172,3
12,394,3
12,26607,3
12,26606,3
12,26605,3
12,26604,3
12,2011,4
12,1053,4
12,1052,4
12,1051,4
12,154,4
12,363,4
12,870,4
12,155,4
12,520,4
12,635,4
12,519,4
12,4172,4
12,4183,4
12,4173,4
12,4184,4
12,2067,4
12,196,4
12,4171,4
12,840,4
12,712,4
12,515,4
12,713,4
12,946,4
12,947,4
12,1911,4
12,13658,4
12,1634,4
12,1633,4
12,7561,4
12,7560,4
12,7563,4
12,1885,4
12,7562,4
12,7103,4
12,7532,4
12,7565,4
12,7564,4
12,7104,4
12,2068,4
12,7643,4
12,1082,4
12,1081,4
12,3698,4
12,3788,4
12,435,4
12,11097,4
12,1422,4
12,2073,4
12,1390,4
12,2072,4
12,1252,4
12,1338,4
12,1972,4
12,1919,4
12,39,4
12,260,4
12,393,4
12,2062,4
12,460,4
12,2061,4
12,375,4
12,364,4
12,575,4
12,278,4
12,322,4
12,279,4
12,1201,4
12,3312,4
12,803,4
12,42,4
12,1406,4
12,3319,4
12,1639,4
12,21339,5
12,21338,5
12,13729,5
12,17540,5
12,13730,5
12,13731,5
12,8948,5
12,12330,5
12,14885,5
12,24090,5
12,2069,5
12,30965,5
12,5581,5
12,5557,5
12,22113,5
12,12273,5
12,22114,5
12,25537,5
12,2027,5
12,4260,5
12,4261,5
12,4255,5
12,865,5
12,4259,5
12,2074,5
12,1342,5
12,541,5
12,2177,5
12,1408,5
12,11242,6
12,11241,6
12,24098,6
12,29808,6
12,24099,6
12,18407,6
12,14478,6
12,18649,6
12,18408,6
12,18405,6
12,18406,6
12,12390,6
12,110,6
12,4373,6
12,4374,6
12,4364,6
12,4367,6
12,4368,6
12,25370,7
12,25350,7
12,25372,7
12,25371,7
12,25351,7
12,25431,7
12,24100,7
12,25430,7
12,25417,7
12,25416,7
12,15594,7
12,29802,8
12,15906,8
12,12281,8
12,8216,8
12,33661,8
12,30150,8
12,34749,8
12,20975,8
12,35874,9
12,36257,9
12,36256,9
12,36255,9
12,20544,9
12,20553,9
12,20552,9
12,20551,9
12,20032,9
12,8214,9
12,20581,9
12,20548,9
12,20547,9
12,20546,9
12,20557,9
12,20545,9
12,20556,9
12,16707,9
12,13884,9
12,13960,9
12,17786,9
12,20974,9
12,37775,10
12,20357,10
12,27863,10
12,20031,10
12,20358,10
12,19347,10
12,19441,10
12,18220,10
12,19440,10
12,18221,10
12,18222,10
12,29011,11
12,28949,11
12,28716,11
12,28715,11
12,14409,11
12,19346,11
157,157,0
157,4309,1
157,12,1
157,2190,1
157,4295,1
157,4,1
157,4310,1
157,667,1
157,4302,1
157,4307,1
157,4308,1
157,1921,2
157,24555,2
157,24554,2
157,63,2
157,2194,2
157,3158,3
157,448,3
157,4202,3
157,328,3
157,2197,3
157,649,3
157,194,3
157,1922,3
157,89,4
157,5496,4
157,49,4
157,2111,4
157,180,4
157,2175,4
157,1096,4
157,2060,4
157,132,4
157,1425,4
157,156,4
157,102,4
157,2214,4
157,3533,4
157,2212,4
157,7,4
157,304,4
157,1276,4
157,2211,4
157,307,4
157,813,4
157,4204,4
157,4206,4
157,3638,4
157,3639,4
157,10991,4
157,980,4
157,1953,4
157,9068,4
157,8847,4
157,4710,4
157,85,4
157,137,4
157,1632,4
157,1621,4
157,1421,4
157,1251,4
157,901,4
157,748,4
157,172,4
157,394,4
157,26607,4
157,26606,4
157,26605,4
157,26604,4
157,2011,5
157,1053,5
157,1052,5
157,1051,5
157,154,5
157,363,5
157,870,5
157,155,5
157,520,5
157,635,5
157,519,5
157,4172,5
157,4183,5
157,4173,5
157,4184,5
157,2067,5
157,196,5
157,4171,5
157,840,5
157,712,5
157,515,5
157,713,5
157,946,5
157,947,5
157,1911,5
157,13658,5
157,1634,5
157,1633,5
157,7561,5
157,7560,5
157,7563,5
157,1885,5
157,7562,5
157,7103,5
157,7532,5
157,7565,5
157,7564,5
157,7104,5
157,2068,5
157,7643,5
157,1082,5
157,1081,5
157,3698,5
157,3788,5
157,435,5
157,11097,5
157,1422,5
157,2073,5
157,1390,5
157,2072,5
157,1252,5
157,1338,5
157,1972,5
157,1919,5
157,39,5
157,260,5
157,393,5
157,2062,5
157,460,5
157,2061,5
157,375,5
157,364,5
157,575,5
157,278,5
157,322,5
157,279,5
157,1201,5
157,3312,5
157,803,5
157,42,5
157,1406,5
157,3319,5
157,1639,5
157,21339,6
157,21338,6
157,13729,6
157,17540,6
157,13730,6
157,13731,6
157,8948,6
157,12330,6
157,14885,6
157,24090,6
157,2069,6
157,30965,6
157,5581,6
157,5557,6
157,22113,6
157,12273,6
157,22114,6
157,25537,6
157,2027,6
157,4260,6
157,4261,6
157,4255,6
157,865,6
157,4259,6
157,2074,6
157,1342,6
157,541,6
157,2177,6
157,1408,6
157,11242,7
157,11241,7
157,24098,7
157,29808,7
157,24099,7
157,18407,7
157,14478,7
157,18649,7
157,18408,7
157,18405,7
157,18406,7
157,12390,7
157,110,7
157,4373,7
157,4374,7
157,4364,7
157,4367,7
157,4368,7
157,25370,8
157,25350,8
157,25372,8
157,25371,8
157,25351,8
157,25431,8
157,24100,8
157,25430,8
157,25417,8
157,25416,8
157,15594,8
157,29802,9
157,15906,9
157,12281,9
157,8216,9
157,33661,9
157,30150,9
157,34749,9
157,20975,9
157,35874,10
157,36257,10
157,36256,10
157,36255,10
157,20544,10
157,20553,10
157,20552,10
157,20551,10
157,20032,10
157,8214,10
157,20581,10
157,20548,10
157,20547,10
157,20546,10
157,20557,10
157,20545,10
157,20556,10
157,16707,10
157,13884,10
157,13960,10
157,17786,10
157,20974,10
157,37775,11
157,20357,11
157,27863,11
157,20031,11
157,20358,11
157,19347,11
157,19441,11
157,18220,11
157,19440,11
157,18221,11
157,18222,11
157,29011,12
157,28949,12
157,28716,12
157,28715,12
157,14409,12
157,19346,12
2190,2190,0
2190,4,1
2190,12,1
2190,157,1
2190,1921,2
2190,24555,2
2190,24554,2
2190,63,2
2190,2194,2
2190,4309,2
2190,4295,2
2190,4310,2
2190,667,2
2190,4302,2
2190,4307,2
2190,4308,2
2190,3158,3
2190,448,3
2190,4202,3
2190,328,3
2190,2197,3
2190,649,3
2190,194,3
2190,1922,3
2190,89,4
2190,5496,4
2190,49,4
2190,2111,4
2190,180,4
2190,2175,4
2190,1096,4
2190,2060,4
2190,132,4
2190,1425,4
2190,156,4
2190,102,4
2190,2214,4
2190,3533,4
2190,2212,4
2190,7,4
2190,304,4
2190,1276,4
2190,2211,4
2190,307,4
2190,813,4
2190,4204,4
2190,4206,4
2190,3638,4
2190,3639,4
2190,10991,4
2190,980,4
2190,1953,4
2190,9068,4
2190,8847,4
2190,4710,4
2190,85,4
2190,137,4
2190,1632,4
2190,1621,4
2190,1421,4
2190,1251,4
2190,901,4
2190,748,4
2190,172,4
2190,394,4
2190,26607,4
2190,26606,4
2190,26605,4
2190,26604,4
2190,2011,5
2190,1053,5
2190,1052,5
2190,1051,5
2190,154,5
2190,363,5
2190,870,5
2190,155,5
2190,520,5
2190,635,5
2190,519,5
2190,4172,5
2190,4183,5
2190,4173,5
2190,4184,5
2190,2067,5
2190,196,5
2190,4171,5
2190,840,5
2190,712,5
2190,515,5
2190,713,5
2190,946,5
2190,947,5
2190,1911,5
2190,13658,5
2190,1634,5
2190,1633,5
2190,7561,5
2190,7560,5
2190,7563,5
2190,1885,5
2190,7562,5
2190,7103,5
2190,7532,5
2190,7565,5
2190,7564,5
2190,7104,5
2190,2068,5
2190,7643,5
2190,1082,5
2190,1081,5
2190,3698,5
2190,3788,5
2190,435,5
2190,11097,5
2190,1422,5
2190,2073,5
2190,1390,5
2190,2072,5
2190,1252,5
2190,1338,5
2190,1972,5
2190,1919,5
2190,39,5
2190,260,5
2190,393,5
2190,2062,5
2190,460,5
2190,2061,5
2190,375,5
2190,364,5
2190,575,5
2190,278,5
2190,322,5
2190,279,5
2190,1201,5
2190,3312,5
2190,803,5
2190,42,5
2190,1406,5
2190,3319,5
2190,1639,5
2190,21339,6
2190,21338,6
2190,13729,6
2190,17540,6
2190,13730,6
2190,13731,6
2190,8948,6
2190,12330,6
2190,14885,6
2190,24090,6
2190,2069,6
2190,30965,6
2190,5581,6
2190,5557,6
2190,22113,6
2190,12273,6
2190,22114,6
2190,25537,6
2190,2027,6
2190,4260,6
2190,4261,6
2190,4255,6
2190,865,6
2190,4259,6
2190,2074,6
2190,1342,6
2190,541,6
2190,2177,6
2190,1408,6
2190,11242,7
2190,11241,7
2190,24098,7
2190,29808,7
2190,24099,7
2190,18407,7
2190,14478,7
2190,18649,7
2190,18408,7
2190,18405,7
2190,18406,7
2190,12390,7
2190,110,7
2190,4373,7
2190,4374,7
2190,4364,7
2190,4367,7
2190,4368,7
2190,25370,8
2190,25350,8
2190,25372,8
2190,25371,8
2190,25351,8
2190,25431,8
2190,24100,8
2190,25430,8
2190,25417,8
2190,25416,8
2190,15594,8
2190,29802,9
2190,15906,9
2190,12281,9
2190,8216,9
2190,33661,9
2190,30150,9
2190,34749,9
2190,20975,9
2190,35874,10
2190,36257,10
2190,36256,10
2190,36255,10
2190,20544,10
2190,20553,10
2190,20552,10
2190,20551,10
2190,20032,10
2190,8214,10
2190,20581,10
2190,20548,10
2190,20547,10
2190,20546,10
2190,20557,10
2190,20545,10
2190,20556,10
2190,16707,10
2190,13884,10
2190,13960,10
2190,17786,10
2190,20974,10
2190,37775,11
2190,20357,11
2190,27863,11
2190,20031,11
2190,20358,11
2190,19347,11
2190,19441,11
2190,18220,11
2190,19440,11
2190,18221,11
2190,18222,11
2190,29011,12
2190,28949,12
2190,28716,12
2190,28715,12
2190,14409,12
2190,19346,12
7,7,0
7,448,1
7,89,2
7,5496,2
7,49,2
7,2111,2
7,180,2
7,2175,2
7,2197,2
7,1096,2
7,194,2
7,2060,2
7,132,2
7,1425,2
7,156,2
7,102,2
7,2214,2
7,3533,2
7,2212,2
7,3158,2
7,304,2
7,1276,2
7,2211,2
7,4202,2
7,328,2
7,307,2
7,813,2
7,4204,2
7,4206,2
7,63,2
7,2011,3
7,1053,3
7,1251,3
7,1052,3
7,1051,3
7,394,3
7,154,3
7,363,3
7,870,3
7,155,3
7,520,3
7,635,3
7,519,3
7,4172,3
7,4183,3
7,4173,3
7,4184,3
7,2067,3
7,172,3
7,196,3
7,4171,3
7,840,3
7,712,3
7,515,3
7,713,3
7,946,3
7,947,3
7,1911,3
7,13658,3
7,1634,3
7,1633,3
7,748,3
7,980,3
7,1953,3
7,9068,3
7,8847,3
7,4710,3
7,85,3
7,1632,3
7,1621,3
7,1421,3
7,901,3
7,7561,3
7,7560,3
7,7563,3
7,1885,3
7,7562,3
7,7103,3
7,7532,3
7,7565,3
7,7564,3
7,7104,3
7,2068,3
7,7643,3
7,3638,3
7,3639,3
7,10991,3
7,1922,3
7,1082,3
7,1081,3
7,1921,3
7,12,3
7,649,3
7,1252,4
7,1639,4
7,21339,4
7,21338,4
7,39,4
7,260,4
7,393,4
7,2062,4
7,460,4
7,2061,4
7,375,4
7,364,4
7,575,4
7,278,4
7,322,4
7,279,4
7,1201,4
7,3312,4
7,803,4
7,42,4
7,1406,4
7,3319,4
7,1338,4
7,1972,4
7,1919,4
7,3788,4
7,435,4
7,11097,4
7,1422,4
7,2073,4
7,1390,4
7,2072,4
7,13729,4
7,17540,4
7,13730,4
7,13731,4
7,8948,4
7,12330,4
7,14885,4
7,24090,4
7,2069,4
7,3698,4
7,26607,4
7,26606,4
7,26605,4
7,26604,4
7,2190,4
7,24555,4
7,157,4
7,24554,4
7,4,4
7,2194,4
7,137,4
7,2027,5
7,4260,5
7,4261,5
7,4255,5
7,865,5
7,4259,5
7,2074,5
7,1342,5
7,541,5
7,2177,5
7,1408,5
7,30965,5
7,5581,5
7,5557,5
7,22113,5
7,12273,5
7,22114,5
7,25537,5
7,11242,5
7,11241,5
7,24098,5
7,29808,5
7,24099,5
7,4309,5
7,4295,5
7,4310,5
7,667,5
7,4302,5
7,4307,5
7,4308,5
7,12390,6
7,110,6
7,4373,6
7,4374,6
7,4364,6
7,4367,6
7,4368,6
7,18407,6
7,14478,6
7,18649,6
7,18408,6
7,18405,6
7,18406,6
7,25370,6
7,25350,6
7,25372,6
7,25371,6
7,25351,6
7,25431,6
7,24100,6
7,25430,6
7,25417,6
7,25416,6
7,15594,7
7,29802,7
7,15906,8
7,12281,8
7,8216,8
7,33661,8
7,30150,8
7,34749,8
7,20975,8
7,35874,9
7,36257,9
7,36256,9
7,36255,9
7,20544,9
7,20553,9
7,20552,9
7,20551,9
7,20032,9
7,8214,9
7,20581,9
7,20548,9
7,20547,9
7,20546,9
7,20557,9
7,20545,9
7,20556,9
7,16707,9
7,13884,9
7,13960,9
7,17786,9
7,20974,9
7,37775,10
7,20357,10
7,27863,10
7,20031,10
7,20358,10
7,19347,10
7,19441,10
7,18220,10
7,19440,10
7,18221,10
7,18222,10
7,29011,11
7,28949,11
7,28716,11
7,28715,11
7,14409,11
7,19346,11
448,448,0
448,89,1
448,5496,1
448,49,1
448,2111,1
448,180,1
448,2175,1
448,2197,1
448,1096,1
448,194,1
448,2060,1
448,132,1
448,1425,1
448,156,1
448,102,1
448,2214,1
448,3533,1
448,2212,1
448,3158,1
448,7,1
448,304,1
448,1276,1
448,2211,1
448,4202,1
448,328,1
448,307,1
448,813,1
448,4204,1
448,4206,1
448,63,1
448,2011,2
448,1053,2
448,1251,2
448,1052,2
448,1051,2
448,394,2
448,154,2
448,363,2
448,870,2
448,155,2
448,520,2
448,635,2
448,519,2
448,4172,2
448,4183,2
448,4173,2
448,4184,2
448,2067,2
448,172,2
448,196,2
448,4171,2
448,840,2
448,712,2
448,515,2
448,713,2
448,946,2
448,947,2
448,1911,2
448,13658,2
448,1634,2
448,1633,2
448,748,2
448,980,2
448,1953,2
448,9068,2
448,8847,2
448,4710,2
448,85,2
448,1632,2
448,1621,2
448,1421,2
448,901,2
448,7561,2
448,7560,2
448,7563,2
448,1885,2
448,7562,2
448,7103,2
448,7532,2
448,7565,2
448,7564,2
448,7104,2
448,2068,2
448,7643,2
448,3638,2
448,3639,2
448,10991,2
448,1922,2
448,1082,2
448,1081,2
448,1921,2
448,12,2
448,649,2
448,1252,3
448,1639,3
448,21339,3
448,21338,3
448,39,3
448,260,3
448,393,3
448,2062,3
448,460,3
448,2061,3
448,375,3
448,364,3
448,575,3
448,278,3
448,322,3
